sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AL,SATUBA,13,4646,2022-11-25 18:45:37
AL,SATUBA,22,4973,2022-11-25 18:45:37
AL,SENADOR RUI PALMEIRA,13,5282,2022-11-25 18:45:37
AL,SENADOR RUI PALMEIRA,22,1001,2022-11-25 18:45:37
AL,SÃO BRÁS,13,3478,2022-11-25 18:45:37
AL,SÃO BRÁS,22,1211,2022-11-25 18:45:37
AL,SÃO JOSÉ DA LAJE,13,7030,2022-11-25 18:45:37
AL,SÃO JOSÉ DA LAJE,22,4825,2022-11-25 18:45:37
AL,SÃO JOSÉ DA TAPERA,13,11431,2022-11-25 18:45:37
AL,SÃO JOSÉ DA TAPERA,22,2721,2022-11-25 18:45:37
AL,SÃO LUÍS DO QUITUNDE,13,8389,2022-11-25 18:45:37
AL,SÃO LUÍS DO QUITUNDE,22,7169,2022-11-25 18:45:37
AL,SÃO MIGUEL DOS CAMPOS,13,15449,2022-11-25 18:45:37
AL,SÃO MIGUEL DOS CAMPOS,22,14924,2022-11-25 18:45:37
AL,SÃO MIGUEL DOS MILAGRES,13,2648,2022-11-25 18:45:37
AL,SÃO MIGUEL DOS MILAGRES,22,2447,2022-11-25 18:45:37
AL,SÃO SEBASTIÃO,13,13701,2022-11-25 18:45:37
AL,SÃO SEBASTIÃO,22,4612,2022-11-25 18:45:37
AL,TANQUE D'ARCA,13,3053,2022-11-25 18:45:37
AL,TANQUE D'ARCA,22,609,2022-11-25 18:45:37
AL,TAQUARANA,13,7751,2022-11-25 18:45:37
AL,TAQUARANA,22,2178,2022-11-25 18:45:37
AL,TEOTÔNIO VILELA,13,12904,2022-11-25 18:45:37
AL,TEOTÔNIO VILELA,22,7062,2022-11-25 18:45:37
AL,TRAIPU,13,9934,2022-11-25 18:45:37
AL,TRAIPU,22,2371,2022-11-25 18:45:37
AL,UNIÃO DOS PALMARES,13,19944,2022-11-25 18:45:37
AL,UNIÃO DOS PALMARES,22,11875,2022-11-25 18:45:37
AL,VIÇOSA,13,9237,2022-11-25 18:45:37
AL,VIÇOSA,22,4960,2022-11-25 18:45:37
AL,ÁGUA BRANCA,13,9400,2022-11-25 18:45:37
AL,ÁGUA BRANCA,22,1004,2022-11-25 18:45:37
AM,ALVARÃES,13,5978,2022-11-25 18:45:37
AM,ALVARÃES,22,2102,2022-11-25 18:45:37
AM,AMATURÁ,13,3880,2022-11-25 18:45:37
