sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AC,SENA MADUREIRA,15,973,2022-11-25 18:45:37
AC,SENA MADUREIRA,16,1,2022-11-25 18:45:37
AC,SENA MADUREIRA,21,3,2022-11-25 18:45:37
AC,SENA MADUREIRA,22,14317,2022-11-25 18:45:37
AC,SENA MADUREIRA,27,2,2022-11-25 18:45:37
AC,SENA MADUREIRA,30,23,2022-11-25 18:45:37
AC,SENA MADUREIRA,44,163,2022-11-25 18:45:37
AC,SENA MADUREIRA,80,1,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,12,349,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,13,3523,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,14,3,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,15,654,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,16,0,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,21,2,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,22,9134,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,27,1,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,30,14,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,44,75,2022-11-25 18:45:37
AC,SENADOR GUIOMARD,80,0,2022-11-25 18:45:37
AC,TARAUACÁ,12,543,2022-11-25 18:45:37
AC,TARAUACÁ,13,8042,2022-11-25 18:45:37
AC,TARAUACÁ,14,5,2022-11-25 18:45:37
AC,TARAUACÁ,15,671,2022-11-25 18:45:37
AC,TARAUACÁ,16,8,2022-11-25 18:45:37
AC,TARAUACÁ,21,4,2022-11-25 18:45:37
AC,TARAUACÁ,22,9146,2022-11-25 18:45:37
AC,TARAUACÁ,27,1,2022-11-25 18:45:37
AC,TARAUACÁ,30,10,2022-11-25 18:45:37
AC,TARAUACÁ,44,78,2022-11-25 18:45:37
AC,TARAUACÁ,80,0,2022-11-25 18:45:37
AC,XAPURI,12,168,2022-11-25 18:45:37
AC,XAPURI,13,3774,2022-11-25 18:45:37
AC,XAPURI,14,2,2022-11-25 18:45:37
AC,XAPURI,15,219,2022-11-25 18:45:37
AC,XAPURI,16,1,2022-11-25 18:45:37
AC,XAPURI,21,3,2022-11-25 18:45:37
AC,XAPURI,22,5142,2022-11-25 18:45:37
AC,XAPURI,27,0,2022-11-25 18:45:37
AC,XAPURI,30,6,2022-11-25 18:45:37
AC,XAPURI,44,44,2022-11-25 18:45:37
AC,XAPURI,80,1,2022-11-25 18:45:37
AL,ANADIA,12,211,2022-11-25 18:45:37
AL,ANADIA,13,6234,2022-11-25 18:45:37
AL,ANADIA,14,18,2022-11-25 18:45:37
AL,ANADIA,15,274,2022-11-25 18:45:37
AL,ANADIA,16,3,2022-11-25 18:45:37
AL,ANADIA,21,3,2022-11-25 18:45:37
AL,ANADIA,22,1797,2022-11-25 18:45:37
AL,ANADIA,27,0,2022-11-25 18:45:37
AL,ANADIA,30,8,2022-11-25 18:45:37
AL,ANADIA,44,45,2022-11-25 18:45:37
AL,ANADIA,80,0,2022-11-25 18:45:37
AL,ARAPIRACA,12,3897,2022-11-25 18:45:37
AL,ARAPIRACA,13,59431,2022-11-25 18:45:37
AL,ARAPIRACA,14,226,2022-11-25 18:45:37
AL,ARAPIRACA,15,3938,2022-11-25 18:45:37
AL,ARAPIRACA,16,19,2022-11-25 18:45:37
AL,ARAPIRACA,21,41,2022-11-25 18:45:37
AL,ARAPIRACA,22,48456,2022-11-25 18:45:37
AL,ARAPIRACA,27,12,2022-11-25 18:45:37
AL,ARAPIRACA,30,158,2022-11-25 18:45:37
AL,ARAPIRACA,44,730,2022-11-25 18:45:37
AL,ARAPIRACA,80,19,2022-11-25 18:45:37
AL,ATALAIA,12,422,2022-11-25 18:45:37
AL,ATALAIA,13,13894,2022-11-25 18:45:37
AL,ATALAIA,14,42,2022-11-25 18:45:37
