,sg_uf,nm_municipio,nr_candidato,qt_votos_primeiro_turno,qt_votos_segundo_turno
290,AL,BARRA DE SÃO MIGUEL,16,1,0
291,AL,BARRA DE SÃO MIGUEL,21,1,0
292,AL,BARRA DE SÃO MIGUEL,22,2769,2871
293,AL,BARRA DE SÃO MIGUEL,27,0,0
294,AL,BARRA DE SÃO MIGUEL,30,5,0
295,AL,BARRA DE SÃO MIGUEL,44,37,0
296,AL,BARRA DE SÃO MIGUEL,80,0,0
297,AL,BATALHA,12,197,0
298,AL,BATALHA,13,6244,6393
299,AL,BATALHA,14,9,0
300,AL,BATALHA,15,345,0
301,AL,BATALHA,16,1,0
302,AL,BATALHA,21,1,0
303,AL,BATALHA,22,2727,2982
304,AL,BATALHA,27,0,0
305,AL,BATALHA,30,8,0
306,AL,BATALHA,44,64,0
307,AL,BATALHA,80,1,0
308,AL,BELO MONTE,12,86,0
309,AL,BELO MONTE,13,3192,3113
310,AL,BELO MONTE,14,3,0
311,AL,BELO MONTE,15,159,0
312,AL,BELO MONTE,16,0,0
313,AL,BELO MONTE,21,1,0
314,AL,BELO MONTE,22,1006,1057
315,AL,BELO MONTE,27,0,0
316,AL,BELO MONTE,30,0,0
317,AL,BELO MONTE,44,14,0
318,AL,BELO MONTE,80,0,0
319,AL,BELÉM,12,51,0
320,AL,BELÉM,13,2442,2406
321,AL,BELÉM,14,4,0
322,AL,BELÉM,15,187,0
323,AL,BELÉM,16,0,0
324,AL,BELÉM,21,2,0
325,AL,BELÉM,22,790,886
326,AL,BELÉM,27,0,0
327,AL,BELÉM,30,3,0
328,AL,BELÉM,44,8,0
329,AL,BELÉM,80,1,0
330,AL,BOCA DA MATA,12,274,0
331,AL,BOCA DA MATA,13,7789,7724
332,AL,BOCA DA MATA,14,32,0
333,AL,BOCA DA MATA,15,435,0
334,AL,BOCA DA MATA,16,2,0
335,AL,BOCA DA MATA,21,2,0
336,AL,BOCA DA MATA,22,4872,5359
337,AL,BOCA DA MATA,27,1,0
338,AL,BOCA DA MATA,30,15,0
339,AL,BOCA DA MATA,44,108,0
340,AL,BOCA DA MATA,80,2,0
341,AL,BRANQUINHA,12,119,0
342,AL,BRANQUINHA,13,4230,4041
343,AL,BRANQUINHA,14,6,0
344,AL,BRANQUINHA,15,275,0
345,AL,BRANQUINHA,16,1,0
346,AL,BRANQUINHA,21,3,0
347,AL,BRANQUINHA,22,1471,1571
348,AL,BRANQUINHA,27,1,0
349,AL,BRANQUINHA,30,2,0
350,AL,BRANQUINHA,44,14,0
351,AL,BRANQUINHA,80,1,0
352,AL,CACIMBINHAS,12,125,0
